task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
190	bc/264cb9	38322110	run_discovery_analysis_trans (175)	COMPLETED	0	2025-10-20 00:07:05.669	1h 30m 27s	1h 28m 15s	96.6%	912.6 MB	1.7 GB	44.7 MB	794.4 KB
172	43/369933	38322096	run_discovery_analysis_trans (157)	COMPLETED	0	2025-10-20 00:07:02.868	1h 30m 34s	1h 21m 38s	96.8%	911.6 MB	1.7 GB	44.8 MB	814.1 KB
254	a7/38ec30	38322175	run_discovery_analysis_trans (239)	COMPLETED	0	2025-10-20 00:07:18.667	1h 30m 39s	1h 21m 36s	94.8%	919.2 MB	1.7 GB	44.6 MB	773.2 KB
330	48/c9726a	38322251	run_discovery_analysis_trans (315)	COMPLETED	0	2025-10-20 00:07:33.868	1h 30m 33s	1h 29m 1s	95.2%	910 MB	1.7 GB	42.9 MB	769.7 KB
317	55/d2c4fc	38322240	run_discovery_analysis_trans (302)	COMPLETED	0	2025-10-20 00:07:31.965	1h 31m 35s	1h 26m 7s	97.1%	909.8 MB	1.7 GB	42.8 MB	778.3 KB
329	7d/62ff55	38322254	run_discovery_analysis_trans (314)	COMPLETED	0	2025-10-20 00:07:34.468	1h 31m 33s	1h 27m 9s	96.3%	920.7 MB	1.7 GB	43.1 MB	744.1 KB
338	51/2bb64f	38322258	run_discovery_analysis_trans (323)	COMPLETED	0	2025-10-20 00:07:35.276	1h 31m 32s	1h 22m 10s	94.4%	908.6 MB	1.7 GB	43.8 MB	740.2 KB
188	e3/7bc1a3	38322112	run_discovery_analysis_trans (173)	COMPLETED	0	2025-10-20 00:07:06.067	1h 32m 46s	1h 30m 54s	97.0%	916 MB	1.7 GB	45.9 MB	825.3 KB
345	27/12511c	38322267	run_discovery_analysis_trans (330)	COMPLETED	0	2025-10-20 00:07:37.067	1h 32m 35s	1h 32m 22s	86.6%	908.7 MB	1.7 GB	43.9 MB	771.9 KB
336	d8/866028	38322257	run_discovery_analysis_trans (321)	COMPLETED	0	2025-10-20 00:07:35.070	1h 34m 2s	1h 26m 34s	99.0%	914.4 MB	1.7 GB	45.3 MB	799.6 KB
321	49/f9346a	38322243	run_discovery_analysis_trans (306)	COMPLETED	0	2025-10-20 00:07:32.323	1h 45m	1h 43m 53s	76.3%	916.4 MB	1.7 GB	42.4 MB	739.3 KB
